Atlanten	اقیانوس اطلس
bankränta	بهره بانکی، نرخ بانکی
bankrån	سرقت بانکی
bankrörelse	کار بانکی، بانکداری
banksekretess	اسرار بانک
banktid	ساعات کار بانک
bankväsen	بانکداری
banledes	توسط قطار
bann	حکم تحریم یا تکفیر، جادو، افسون، فریبندگی
banna	اوقات تلخی کردن، سرزنش کردن
bannade	زمان گذشته از:، اوقات تلخی کردن، سرزنش کردن
bannar	زمان حال از:، اوقات تلخی کردن، سرزنش کردن
bannat	ماضی نقلی و بعید از:، اوقات تلخی کردن، سرزنش کردن
bannbulla	حکم رسمی پاپ
bannlysa	تکفیرکردن، قدغن کردن، تحریم کردن
bannlyser	زمان حال از:، تکفیرکردن، قدغن کردن، تحریم کردن
bannlysning	تکفیر
bannlyst	ماضی نقلی و بعید از:، تکفیرکردن، قدغن کردن، تحریم کردن
bannlyste	زمان گذشته از:، تکفیرکردن، قدغن کردن، تحریم کردن
bannor	سرزنش، اوقات تلخی
bannstråle	لعنت و تکفیر
banta	کم کردن، کاستن، رژیم گرفتن، لاغرشدن
banta bort flera kilo|banta	چند کیلو وزن کم کردن
banta ned utgifterna|banta	از مخارج کاستن
bantade	زمان گذشته از:، کم کردن، کاستن، رژیم گرفتن، لاغرشدن
bantamvikt	پروزن
bantamviktare	ورزشکار پروزن
bantar	زمان حال از:، کم کردن، کاستن، رژیم گرفتن، لاغرشدن
bantat	ماضی نقلی و بعید از:، کم کردن، کاستن، رژیم گرفتن، لاغرشدن
bantning	کاهش، رژیم غذایی
bantningskur	معالجه توسط رژیم
bantningsmedel	مواد لاغر یا سیر کننده
banvakt	سوزن بان، خط بان
banvall	خاکریزی(جاده) راه آهن
baptism	غسل تعمید
bar	بار، کافه تریا ، لخت، برهنه، زمان گذشته از:، حمل کردن، بردن، دربرداشتن، داشتن، با خود داشتن یا آوردن، حمل شدن، تحمل شدن- کشاندن، بردن- صرفه داشتن
bara	صرفاً، اگر، پس
bara ben|bar	پاهای لخت
bara på skoj|bara	فقط بشوخی، برای تنوع
barack	کلبه چوبی
baraxlad	شانه برهنه
barbacka	بدون زیر
barbar	بربر، آدم وحشی
barbari	بربریت، وحشیگری
barbarisk	غیر متمدن، وحشی
barbariskt	غیر متمدن، وحشی
barbarism	غلط دستوری(اصطلاحی)
barbent	ران لخت
barberare	آرایشگر، سلمانی
barbiträde	بارمن
barbiturat	باربیتورات: داروی خواب آور با اثر طولانی
barbiturism	حالت مسمومیتی که در اثر مصرف زیاد باربیتورات ایجاد میشود
bard	استخوان آرواره نهنگ، شاعر و خواننده باستانی
bardun	طنابی که از نوک دکل به پهلوی کشتی امتداد دارد
barett	نوعی کلاه
barfota	پابرهنه
barfotalasse	آدم فقیر
barfrost	سرمانخورده
barfrusen	یخ بسته
barhuvad	سربرهنه، بدون کلاه
barhänt	بی دستکش
barium	باریم
bariumsulfat	سولفات باریوم، گرد سفیدی که بعنوان ماده حاجب در رادیوگرافیهای دستگاه گوارش مصرف میشود
bark	پوست درخت
barka	پوست کندن، لخت کردن(درخت)
barkade	زمان گذشته از:، پوست کندن، لخت کردن(درخت)
barkar	زمان حال از:، پوست کندن، لخت کردن(درخت)
barkaroll	سرود قایقرانان ونیز
barkass	لنج یا قایق بزرگ
barkat	ماضی نقلی و بعید از:، پوست کندن، لخت کردن(درخت)
barkbock	سوسک کوچکی که در زیر پوست درختان تولید مثل میکند
barkbröd	نان که از آرد پوست درخت است
barkbåt	قایق اسباب بازی از پوست درخت
barkig	پوستی، پوست دار
barkigt	پوستی، پوست دار
barkskepp	قایق اسباب بازی از پوست درخت
barlast	بارسنگین از هر چیز، ماسه، شن و خرده سنگی که در راه آهن بکارمیرود
barlasta	سنگین کردن، شن و سنگ ریختن
barlastade	زمان گذشته از:، سنگین کردن، شن و سنگ ریختن
barlastar	زمان حال از:، سنگین کردن، شن و سنگ ریختن
barlastat	ماضی نقلی و بعید از:، سنگین کردن، شن و سنگ ریختن
barm	سینه، پستان، آغوش، بغل
barmhärtig	آمرزنده، بخشنده
barmhärtighet	بخشودگی، آمرزش
barmhärtighetsverk	کاری که از روی سخاوت و انسان دوستی انجام شود
barn	بچه، کودک، فرزند، نوزاد
barn på tolv år och därunder|därunder	بچه های زیر 12 سال
barnadödlighet	مرگ و میر بچه
barnafader	پدر بچه، بچه بدون ازدواج والدین
barnafrom	بچگانه، مثل بچه
barnaföderska	زن نزدیک وضع حمل
barnafödsel	وضع حمل، زایمان
barnamord	بچه کشی
barnarov	بچه دزدی
barnasinne	فکر بچگانه
barnatro	عقیده طفولیت
barnavård	نگهداری و بهداشت کودک
barnavårdscentral	مرکز بهداشت و درمان کودک
barnavårdslagen	قانون حمایت از حقوق کودکان و نوجوانان
barnavårdsman	شخص مسیول جهت رفاه و آسایش بچه ای که مادرش ازدواج نکرده(طلاق گرفته)
barnavårdsnämnd	کمیته آسایش و رفاه کودکان و نوجوانان
barnaår	سالهای بچگی و قبل از بلوغ
barnbarn	نوه
barnbarnsbarn	نبیره
barnbeck	مامیزه(مامازی):ماده موسینی سبزتیره رنگی که در روده جنین به هنگام ترم وجود دارد
barnbegränsning	جلوگیری از حاملگی
barnbidrag	حق اولاد که 0 تا 16 سال است
barnbjudning	جشن بچگانه
barnbok	کتاب کودکان
barnbördshus	زایشگاه
barnbördsklinik	زایشگاه- قسمت زایمان
barndaghem	مهد کودک
barndom	کودکی، طفولیت
barndomshem	خانه ای که دوران طفولیت در آن سپری میشود
barndomsminne	خاطره بچگی
barndomstid	زمان طفولیت
barndomsvän	دوست دوران بچگی
barndop	غسل تعمید، مراسم نامگذاری کودک (درکلیسا)
barnen	بچه ها، کودکان، فرزندان، نوزادان
barnens dag|barn	روز کودک
barnet	بچه، کودک، فرزند، نوزاد
barnfamilj	خانواده بچه دار
barnfattig	کم بچه
barnfattigt	کم بچه
barnflicka	دختر بچه نگهدار
barnfödd	متولد
barnförbjuden	غیرمجازبرای بچه ها
barnförlamning	فالج، فلج اطفال
barnfött	متولد
barnhabilitering	درمان بچه های افلیج
barnhem	پرورشگاه بچه، یتیم خانه
barnhusbarn	بچه پرورشگاهی
barnhälsovård	خدمات جهت تندرستی بچه
barnjungfru	دایه
barnkalas	جشن بچگانه
barnkammare	اطاق بچه
barnkoloni	اجتماع بچه ها، اردوگاه کودکان و نوجوانان
barnkorg	سبد جهت حمل بچه
barnkunskap	علم پرستاری و تربیت بچه
barnkär	شیفته بچه
barnlek	بازی بچه
barnlinda	قنداق
barnläkare	پزشک اطفال
barnlös	بی بچه، اجاق کور
barnlöshet	بی بچگی، نداشتن بچه
barnlöst	بی بچه، اجاق کور
barnmorska	ماما، قابله
barnomsorg	فعالیت اجتماعی بچه های زیر شش سال از جمله مهدکودک
barnparkering	مهد کودک
barnpassare	بچه نگهدار
barnpassning	نگهداری از کودک
barnpension	حقوقی است که پس از مرگ پدر یا مادر به فرزند تا 18 سال تعلق میگیرد
barnpiga	نگهداری بچه
barnprogram	برنامه کودک
barnrik	پربچه، عیال وار
barnrikt	پربچه، عیال وار
barnsadel	صندلی بچه پشت دوچرخه
barnsaga	قصه کودکانه
barnsbörd	زایمان، وضع حمل
barnsjukdom	بیماری اطفال
barnsjukhus	بیمارستان کودکان
barnskrik	صدای گریه بچه
barnskötare	پرستار بچه(در بیمارستان)
barnsköterska	پرستاربچه(زن)
barnslig	بچگانه، کودکانه
barnslighet	بچگی
barnsligt	بچگی
barnsnöd	درد زایمان
barnspråk	زبان بچگانه
barnsäker	دارای ایمنی جهت بچه، مناسب حال بچه
barnsäng	موقع وضع حمل، دوره زایمانی، تخت بچه
barnsängsfeber	تب تفاسی یا تب پس از زایمان
barnsängskvinna	زنی که در بستر زایمان است
barntillsyn	نگهداری بچه
barntillägg	قرضی است جهت کمک هزینه تحصیل که به افراد زیر شانزده سال تعلق میگیرد
barntillåten	مجاز برای خردسالان
barnunge	بچه
barnuppfostran	تربیت بچه
barnvagn	کالسکه بچه
barnvakt	بچه نگهدار
barnvänlig	مناسب حال بچه
barnvänlighet	بچه دوستی
barnvänligt	مناسب حال بچه
barnvåg	ترازوی بچه کشی
barock	بی تناسب، بی قواره، بی معنی، نامعقول، بیهوده
barograf	هواسنج خودکار
barometer	هواسنج، لیوان
baron	بارون: عنوان شخص برجسته
baronessa	بانوی بارون
barr	میله های پارالل، شمش طلا یا نقره
barra	برگ ریزان کردن
barrade	زمان گذشته از:، برگ ریزان کردن
barrar	زمان حال از:، برگ ریزان کردن
barrat	ماضی نقلی و بعید از:، برگ ریزان کردن
barrdoft	بوی خوش کاج
barrig	پوشیده از برگهای کاج
barrigt	پوشیده از برگهای کاج
barrikad	سنگربندی موقتی، مانع
barrikadera	مسدودکردن(بامانع)
barrikaderade	زمان گذشته از:، مسدودکردن(بامانع)، 
barrikaderar	زمان حال از:، مسدودکردن(بامانع)
barrikaderat	ماضی نقلی و بعید از:، مسدودکردن(بامانع)، 
barrikadering	مسدودسازی، ایجاد مانع
barriär	نرده یا مانع عبوردشمن، حصار، صفحه عایق بین دو جریان
barrskog	جنگل کاج
barrträd	درخت کاج
barsk	تند، خشن، ناملایم
barskhet	ناملایمت، تندی
barskrapad	متروک، فراموش شده
barskåp	قفسه بار
bart	بار، کافه تریا ، لخت، برهنه
bartender	متصدی بار
barvinter	زمستان بی برف
baryton	باریتون: صدای مرد که نه زیر باشد و نه بم.
bas	زمینه، اساس، زیربنا، قاعده، پایه، مبنا بر حسب لگاریتم، قلیا، باز ، پایگاه ، بم، صدای بم
basa	مدیریت کردن، بخار کردن
basade	زمان گذشته از:، مدیریت کردن، بخار کردن
basalt	سیاه سنگ
basar	بازار، زمان حال از:، مدیریت کردن، بخار کردن
basat	ماضی نقلی و بعید از:، مدیریت کردن، بخار کردن
basbelopp	واحدی است جهت محاسبه کردن پرداخت اعانه یا حقوق
baseball	بیس بال
baseboll	بیس بال
basebollkeps	کلاه بیس بال
basera	بنیان نهادن، مبناقراردادن، برپاکردن، پایگاه تشکیل دادن
baserade	زمان گذشته از:، بنیان نهادن، مبناقراردادن، برپاکردن، پایگاه تشکیل دادن
baserar	زمان حال از:، بنیان نهادن، مبناقراردادن، برپاکردن، پایگاه تشکیل دادن
baserat	ماضی نقلی و بعید از:، بنیان نهادن، مبناقراردادن، برپاکردن، پایگاه تشکیل دادن
basfiol	کنتراباس
basfjol	ویلون سُل که هنگام نواختن ته آنرا برزمین میگذارند
basilika	کلیسایی که سالن بلند دارد
basilisk	نوعی سوسمار آمریکایی
basis	زمینه، اساس
basisk	قلیایی
bask	اهل باسک ناحیه ای در اسپانیا
basker	کلاه گرد
basketboll	بسکتبال
baskisk	باسکی، مربوط به باسک
baskiskt	باسکی، مربوط به باسک
basklav	کلیدی که زیر و میان قرار میگیرد ، کلید فا در موسیقی
baslinje	خط قاعده، خط مبداء، خط انتهای زمین تنیس
basrelief	حجاری و نقوش برجسته
basröst	صدای بم
bassäng	استخر، حوض، استخر شنا
bast	لیف درخت، پوست لیفی درختان که برای طناب یا فرش بافی استعمال میشود.
basta	حمام سونا گرفتن
bastade	زمان گذشته از:، حمام سونا گرفتن
bastant	استوار، ثابت، بادوام، کلفت، محکم
bastar	زمان حال از:، حمام سونا گرفتن
bastard	هیبرید: فرزند والدینی که از نژادهای مختلفی باشد
bastardnäktergal	پرنده کوچکی است
bastat	ماضی نقلی و بعید از:، حمام سونا گرفتن
bastion	باستیون: سنگر و استحکاماتی که از روی حصار اصلی قلعه جلوتر رفته و مسلط بر فضای قلعه است
bastonad	فلکه، فلک
bastu	سونا
bastuba	نوعی ساز بادی
basun	نوعی ساز بادی
basunera	گسترش دادن، پخش کردن
basunerade	زمان گذشته از:، گسترش دادن، پخش کردن
